team,n_matches,xg_for,goals_for,shots,sot,passes,pressures,xg_against,goals_against,opp_shots,xg_diff,win_rate,draw_rate,loss_rate
Brazil,14,2.5459,1.8261,17.87,7.26,588.3,137.8,1.1312,1.2174,9.39,1.4146,0.4783,0.3913,0.1304
Argentina,17,2.6552,2.6,15.13,6.7,613.6,139.9,1.4452,1.3,9.03,1.21,0.6333,0.2333,0.1334
Germany,15,1.9835,1.6911,19.07,6.5,672.2,135.4,0.9666,1.0732,8.46,1.0169,0.4228,0.2195,0.3577
Spain,21,2.2667,2.2093,17.48,6.35,797.5,144.8,1.4512,1.2209,8.89,0.8155,0.5756,0.3663,0.0581
Portugal,18,2.0238,1.9527,15.25,5.14,651.4,125.0,1.4565,1.3851,10.74,0.5674,0.4189,0.25,0.3311
Colombia,10,1.6207,2.0625,12.75,4.25,493.1,150.6,1.0906,0.8125,10.75,0.5301,0.625,0.1875,0.1875
England,26,1.7407,2.0784,11.94,4.46,617.5,140.1,1.2603,1.0784,10.56,0.4804,0.5392,0.2892,0.1716
Uruguay,14,1.9023,2.087,13.78,5.04,440.2,155.3,1.437,1.087,10.39,0.4653,0.5217,0.2609,0.2174
France,24,2.0006,1.9689,15.13,5.02,555.3,144.4,1.5501,1.487,10.47,0.4505,0.5544,0.342,0.1036
Italy,11,1.7823,1.8315,15.75,4.63,628.1,152.0,1.4457,1.0787,11.04,0.3366,0.5056,0.2697,0.2247
Netherlands,15,1.6237,2.0,12.13,4.05,558.4,134.1,1.3024,1.2174,12.01,0.3213,0.587,0.2174,0.1956
Iceland,3,1.5723,0.6667,12.0,3.67,298.0,231.0,1.3555,1.6667,19.33,0.2168,0.0,0.3333,0.6667
Ecuador,7,1.6766,1.4286,12.0,3.86,395.9,134.4,1.4785,1.5714,10.57,0.1981,0.2857,0.4286,0.2857
United States,7,1.1041,0.8571,11.43,3.57,483.0,128.3,0.9158,1.0,8.71,0.1883,0.2857,0.2857,0.4286
Belgium,19,1.3128,1.15,12.54,4.38,577.6,133.6,1.1402,0.5786,14.46,0.1726,0.5571,0.1429,0.3
Senegal,7,1.1106,1.1818,11.73,3.18,408.5,145.5,0.9564,1.6364,8.64,0.1542,0.4545,0.0909,0.4546
Mexico,10,1.256,0.5625,16.25,4.94,482.8,139.6,1.1382,0.8125,11.44,0.1178,0.375,0.25,0.375
Sweden,9,1.2698,1.1321,10.89,3.43,368.8,166.8,1.1618,0.9057,14.81,0.1081,0.5472,0.1321,0.3207
Czech Republic,8,1.3041,1.1077,12.8,4.82,408.1,143.3,1.2347,1.0462,12.17,0.0694,0.2154,0.2615,0.5231
Croatia,21,1.9732,1.9141,13.54,4.95,601.1,160.7,1.9114,1.7239,13.18,0.0617,0.2883,0.4724,0.2393
Venezuela,4,2.5153,2.5,15.5,4.25,455.2,131.0,2.4599,1.5,14.25,0.0554,0.75,0.25,0.0
Ukraine,8,1.0974,0.9538,11.65,4.11,533.2,150.6,1.1425,1.6923,12.97,-0.0451,0.3692,0.1538,0.477
Denmark,17,1.3076,1.053,13.17,4.7,560.7,134.0,1.3746,1.0379,12.21,-0.067,0.197,0.4167,0.3863
Morocco,10,1.2319,1.1765,10.06,2.94,411.3,159.2,1.3086,0.6471,10.82,-0.0766,0.3529,0.2941,0.353
Canada,9,2.1655,1.3333,12.11,3.67,449.1,149.6,2.2559,2.3333,12.56,-0.0904,0.1111,0.3333,0.5556
Austria,8,1.3493,1.3971,12.81,4.68,543.1,183.5,1.4719,1.25,12.12,-0.1226,0.5,0.0,0.5
